MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit
20210413,仁愛甲字943008,64000,高雄市仁武區中山路1號,考潭基地
20210414,精誠甲字953024,66000,臺中市大雅區忠義里信義路97號,清泉崗營區
20210414,精誠甲字953044,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210414,精誠甲字943034,64000,高雄市大樹區久堂里久堂路鐵路巷15號,九曲堂火車站
20210414,精誠甲字943035,64000,高雄市大樹區久堂里久堂路鐵路巷15號,九曲堂火車站
20210414,精誠甲字933039,10002,宜蘭市光復路1號,宜蘭火車站
20210415,精誠甲字943040,64000,高雄市鼓山區鼓山三路127號,自強營區
20210415,大業甲字942009,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區
20210415,大業甲字943001,64000,高雄市左營區世運大道3號,南勝利營區
20210417,大業甲字240308,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區
20210417,大業甲字240400,64000,高雄市左營區世運大道3號,南勝利營區
20210417,精誠甲字230900,65000,新北市淡水區中正路二段53號,忠莊營區
20210417,博愛甲字251805,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區
20210417,博愛甲字251408,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區
20210417,博愛甲字251409,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區
20210417,博愛甲字251401,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區
20210417,博愛甲字251402,66000,臺中市烏日區榮泉里中山路3段502號,成功嶺營區
20210417,博愛甲字241203,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210417,衛國甲字240100,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210419,博愛甲字932032,65000,新北市淡水區中正路二段53號,忠莊營區
20210420,博愛甲字932034,65000,新北市淡水區中正路二段53號,忠莊營區
20210420,博愛甲字932002,10002,宜蘭縣宜蘭市金六結路236號,軍功營區
20210420,精誠甲字953038,66000,臺中市潭子區仁愛路一段1號,新田營區
20210421,精誠甲字943030,64000,高雄市大樹區中正一路1號,大樹營區
20210421,精誠甲字953040,66000,臺中市后里區中正路1號,后里火車站
20210421,博愛甲字932006,10002,宜蘭縣宜蘭市金六結路236號,軍功營區
20210421,博愛甲字932007,10002,宜蘭縣宜蘭市金六結路236號,軍功營區
20210421,仁愛甲字953002,10010,嘉義縣水上鄉榮典路1號,嘉義基地
20210422,仁愛甲字951005,10010,嘉義縣水上鄉榮典路1號,嘉義基地
20210422,博愛甲字932004,10002,宜蘭縣宜蘭市金六結路236號,軍功營區
20210423,忠貞甲字932013,10018,新竹市東區建功一路55號,建功營區
20210423,博愛甲字952022,10008,南投縣南投市民族路512號,明德營區
20210423,精誠甲字943022,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210424,忠信甲字120101,10015,花蓮市新興路80號,南美崙營區
20210424,仁愛甲字150200,10010,嘉義縣水上鄉榮典路1號,嘉義基地
20210424,精誠甲字231505,10004,新竹縣湖口鄉八德路3段11巷12號,長安營區
20210424,精誠甲字241004,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210424,精誠甲字250309,66000,臺中市烏日區學田路719號,成功嶺營區
20210424,忠貞甲字230203,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210424,博愛甲字221103,65000,新北市淡水區中正路二段53號,忠莊營區
20210424,博愛甲字222300,65000,新北市淡水區中正路二段53號,忠莊營區
20210424,博愛甲字241207,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210424,博愛甲字251405,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210426,博愛甲字952023,10008,南投縣南投市民族路512號,明德營區
20210427,仁愛甲字942009,67000,臺南市新化區五甲勢120號,新化營區
20210428,精誠甲字923011,10015,花蓮縣吉安鄉中正路2段306號,南埔營區
20210428,精誠甲字953036,10008,南投縣埔里鎮蜈蚣里鯉魚路55號,鯉魚潭營區
20210430,博愛甲字953012,10008,南投縣南投市民族路512號,明德營區
20210430,博愛甲字953704,10008,南投縣南投市民族路512號,明德營區
20210503,博愛甲字256600,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210503,博愛甲字226100,65000,新北市淡水區中正路二段53號,忠莊營區
20210504,博愛甲字922009,10014,臺東縣台東市豐年里中興路三段69巷100號,豐年營區
20210504,博愛甲字922011,10014,臺東縣台東市豐年里中興路三段69巷100號,豐年營區
20210504,博愛甲字932021,68000,桃園市桃園區介壽路322號,介壽營區
20210504,仁愛甲字921004,10014,臺東縣臺東市志航路三段三號,志航基地
20210505,仁愛甲字922002,10014,臺東縣臺東市志航路三段三號,志航基地
20210505,精誠甲字943036,67000,臺南市新營區中營里中山路1號,新營火車站
20210505,博愛甲字932022,68000,桃園市桃園區介壽路322號,介壽營區
20210505,博愛甲字923008,10014,臺東縣台東市豐年里中興路三段69巷100號,豐年營區
20210505,博愛甲字242100,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210505,博愛甲字242200,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210505,博愛甲字242300,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210506,仁愛甲字921005,10014,臺東縣臺東市志航路三段三號,志航基地
20210507,精誠甲字932018,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區
20210508,精誠甲字240907,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210508,精誠甲字251002,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區
