MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit 
2021-06-19,精誠甲字231301,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區,
2021-06-21,博愛甲字942003,67000,臺南市北區長榮五段393號,長榮營區,
2021-06-21,博愛甲字952017,10007,彰化縣彰化市卦山路14號,龍泉營區,
2021-06-23,博愛甲字942004,67000,臺南市北區長榮五段393號,長榮營區,
2021-06-23,博愛甲字932019,65000,新北市土城區仁愛路23號,仁愛營區,
2021-06-24,博愛甲字933004,65000,新北市土城區仁愛路23號,仁愛營區,
2021-06-25,博愛甲字952018,10007,彰化縣彰化市卦山路14號,龍泉營區,
2021-06-25,博愛甲字943002,67000,臺南市北區長榮五段393號,長榮營區,
2021-06-26,博愛甲字251503,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-06-26,博愛甲字232100,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-26,博愛甲字231105,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-26,精誠甲字230601,10004,新竹縣關西鎮東平里老?寮1鄰22號,關西營區,
2021-06-26,精誠甲字230602,10004,新竹縣關西鎮東平里老?寮1鄰22號,關西營區,
2021-06-28,博愛甲字953703,10007,彰化縣彰化市卦山路14號,龍泉營區,
2021-06-29,博愛甲字932014,65000,新北市土城區仁愛路23號,仁愛營區,
2021-07-01,博愛甲字933001,65000,新北市土城區仁愛路23號,仁愛營區,
2021-07-03,博愛甲字231504,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-03,博愛甲字251507,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-07-03,大業甲字240206,10013,屏東縣恆春鎮省北路二段80號,仁壽營區,
2021-07-05,博愛甲字236700,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-07,博愛甲字932044,63000,臺北市北投區中央北路二段70號,復興崗校區,
2021-07-08,博愛甲字932045,63000,臺北市北投區中央北路二段70號,復興崗校區,
2021-07-10,忠貞甲字230500,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-07-10,忠貞甲字230205,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-07-10,博愛甲字251205,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-07-10,博愛甲字241406,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-07-10,博愛甲字231505,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-10,大業甲字240304,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-07-10,大業甲字140500,64000,高雄市林園區潭頭村潭頭路803號,勾踐營區,
2021-07-10,大業甲字230200,10002,宜蘭縣蘇澳鎮軍港路10號,東海營區,
2021-07-10,仁愛甲字240100,67000,臺南市南區機場路905號,臺南基地,
2021-07-10,仁愛甲字250200,10010,嘉義縣水上鄉榮典路1號,嘉義基地,
2021-07-10,忠義甲字181200,64000,高雄市左營區介壽路20號,精誠營區,
2021-07-10,忠義甲字280700,10017,基隆市中山二路94號,居仁營區,
2021-07-10,忠義甲字280800,10017,基隆市中山二路94號,居仁營區,
2021-07-10,精誠甲字942003,67000,臺南市官田區官田里官田路49號,官田營區,
2021-07-10,精誠甲字942011,64000,高雄市大樹區久堂村久堂路19520號,仁美營區,
2021-07-10,精誠甲字942013,10013,屏東縣枋山鄉加祿村加祿路192號,加祿堂營區,
2021-07-10,精誠甲字140600,64000,高雄市大樹區久堂路195之20號,仁美營區,
2021-07-10,精誠甲字230302,10004,新竹縣關西鎮東平里老寮1鄰22號,關西營區,
2021-07-10,精誠甲字240302,67000,臺南市大內區日新村新厝子45號,大內營區,
2021-07-10,精誠甲字240906,10013,屏東縣枋山鄉加祿村加祿路192號,加祿堂營區,
2021-07-10,精誠甲字250305,66000,臺中市烏日區學田路719號,成功嶺營區,
2021-07-10,精誠甲字240908,10013,屏東縣枋山鄉加祿村加祿路192號,加祿堂營區,
2021-07-11,精誠甲字932017,10004,新竹縣關西鎮東平里老寮1鄰22號,關西營區,
2021-07-11,精誠甲字952005,66000,臺中市烏日區學田路719號,成功嶺營區,
2021-07-12,忠義甲字933002,10002,宜蘭縣蘇澳鎮軍港路10號,東海營區,
2021-07-12,大業甲字942006,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-07-13,仁愛甲字921001,10015,花蓮縣新城鄉嘉新村花師街37號,花蓮基地,
2021-07-13,仁愛甲字941003,64000,高雄市岡山區介壽西路西首2號,岡山基地,
2021-07-14,仁愛甲字921002,10015,花蓮縣新城鄉嘉新村花師街37號,花蓮基地,
2021-07-14,仁愛甲字942001,64000,高雄市岡山區介壽西路西首2號,岡山基地,
2021-07-14,仁愛甲字943002,10013,屏東縣屏東市勝利路330號,屏東基地,
2021-07-17,博愛甲字231507,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-17,博愛甲字231508,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-17,博愛甲字231501,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-17,博愛甲字231502,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-17,博愛甲字233803,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-07-17,博愛甲字243600,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-07-17,博愛甲字251601,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-07-17,博愛甲字251602,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-07-17,博愛甲字251608,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-07-17,博愛甲字251609,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-07-17,仁愛甲字130100,10018,新竹市北區中正路699號,新竹基地,
2021-07-17,精誠甲字251004,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區,
2021-07-19,博愛甲字952004,10005,苗栗縣苗栗市府前路56號,建功營區,
2021-07-20,仁愛甲字931002,10018,新竹市北區中正路699號,新竹基地,
2021-07-21,仁愛甲字932001,10018,新竹市北區中正路699號,新竹基地,
2021-07-22,仁愛甲字931003,10018,新竹市北區中正路699號,新竹基地,
2021-07-23,博愛甲字953003,10005,苗栗縣苗栗市府前路56號,建功營區,
2021-07-23,軍勤甲字921102,10015,花蓮市富裕2街321號,花蓮工務段,
2021-07-24,博愛甲字231403,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-07-24,博愛甲字251603,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-07-24,博愛甲字233804,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-07-24,博愛甲字241306,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-07-24,精誠甲字250802,67000,臺南市白河區內角里2號,內角營區,
2021-07-24,精誠甲字231101,68000,桃園市八德區介壽路二段1265號,更寮腳營區,
2021-07-26,博愛甲字236600,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
